obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.2852227,128,195,36,210.4398
0.8678564,232,187,67,15.49997
0.2355183,248,246,31,23.79001
0.6043552,145,157,66,62.50995
0.5826682,176,144,68,8.669983
0.2396244,194,147,44,26.47998
0.3612748,133,206,76,49.50995
0.5560681,113,141,34,324.3998
0.5388812,196,209,51,89.06995
0.828091,241,131,67,166.4698
0.6913291,178,108,51,109.13
0.7803949,239,167,50,92.62
0.5922523,146,179,46,15.93994
0.7083709,113,136,63,276.7198
0.3933039,252,125,47,97.73987
0.5132052,101,122,51,59.66996
0.201013,173,221,63,8.519997
0.6234927,111,181,80,44.54997
0.6319827,119,203,37,16.31
0.2535381,167,188,76,389.0098
0.259977,195,210,34,97.46991
0.1765525,179,243,54,31.67999
0.8292778,185,151,79,40.66998
0.8583705,211,131,33,66.47992
0.2995499,201,227,64,83.04993
0.294146,228,197,75,104.3799
0.38457,243,126,53,83.06995
0.5772933,215,110,80,96.69995
0.8140171,167,148,71,239.1598
0.5749456,155,178,87,76.67004
0.5225797,186,186,38,16.98999
0.859187,174,132,70,57.04004
0.4544552,165,242,72,26.1499
0.3249488,216,183,45,43.10986
0.7483869,117,152,31,13.77002
0.1835897,164,213,54,15.02002
0.4545137,143,210,75,92.09985
0.3241529,197,241,85,47.34009
0.5672213,146,100,71,65.86987
0.7807147,194,190,57,41.65015
0.4127601,201,208,53,29.39014
0.1135406,215,172,38,8.889893
0.7683932,125,210,45,97.52002
0.2136589,118,238,84,31.11011
0.4177449,151,239,36,15.11987
0.1400529,221,186,44,12.65991
0.2537327,141,156,77,121.8499
0.6982056,178,161,87,46.94995
0.6791434,208,104,71,15.94995
0.377912,100,230,77,28.30005
0.7000362,125,249,83,49.12012
0.480411,166,181,70,23.54004
0.2463948,117,187,39,19.05999
0.7998249,240,187,38,80.26994
0.4556899,196,212,79,55.83996
0.8719077,122,175,31,107.0299
0.8947763,179,136,89,46.67996
0.1807151,213,157,63,115.3099
0.2277997,190,108,31,31.32999
0.3851339,164,239,62,183.8198
0.6014583,171,220,61,32.40997
0.8659385,193,111,44,18.37994
0.3700981,125,145,87,17.34998
0.9218673,175,214,54,8.419922
0.3234269,160,193,52,12.45007
0.5851,233,142,60,55.91992
0.2294852,254,177,82,8.280029
0.4578323,153,187,30,38.03992
0.2436967,115,211,54,42.93994
0.2441521,150,251,82,36.65002
0.7605274,179,114,77,259.1398
0.4977795,251,225,31,8.670044
0.4209909,106,130,67,36.62988
0.3973782,115,150,52,50.53003
0.9825886,182,217,87,8.459961
0.2804028,159,120,86,47.94995
0.583945,111,237,34,56.44019
0.5959771,231,212,85,47.13989
0.7654282,148,182,60,26.22998
0.8646551,247,188,56,142.8899
0.3278118,239,157,55,35.85986
0.1481305,127,116,78,27.84009
0.3551408,202,242,54,159.3499
0.1522678,164,157,32,303.9597
0.1501912,183,155,83,28.16992
0.2083963,197,111,82,174.6499
0.483783,184,161,58,32.47021
0.6514776,235,197,49,30.41992
0.6899022,233,243,79,246.0398
0.5289683,174,140,78,97.96994
0.2742411,189,216,43,55.42996
0.2405606,118,202,73,26.70996
0.8032331,254,242,51,21.08008
0.2141899,150,156,53,217.6698
0.9895804,113,120,63,13.80005
0.7632717,131,197,70,51.99988
0.5214399,123,105,41,27.42004
0.2886024,227,176,44,52.62988
0.2331195,170,168,33,43.25
0.4386381,185,177,65,20.10999
0.437991,148,119,51,249.9597
0.1536915,238,148,53,38.53992
0.298137,157,248,43,51.00996
0.8118231,167,217,82,27.67998
0.8265504,131,189,50,64.70995
0.4362257,167,233,51,136.9899
0.1392394,217,235,84,36.02997
0.2300341,184,240,89,123.9999
0.4891362,252,200,58,80.12994
0.8371612,161,205,32,40.53998
0.6247225,167,212,44,78.43994
0.8139343,160,190,37,70.19995
0.7914454,231,185,82,152.9399
