obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.5592264,101,101,67,104.8999
0.8354135,100,163,42,80.82994
0.3826422,123,163,43,39.96997
0.5178533,234,143,66,56.82996
0.2553492,253,113,72,27.04999
0.5733354,231,133,61,63.01996
0.9876527,126,141,67,231.2299
0.9025002,114,124,40,127.6899
0.9231421,217,193,61,608.8495
0.7059771,213,189,78,43.72998
0.6753151,185,205,31,687.8396
0.1938098,199,140,77,25.13965
0.289731,128,244,38,26.81006
0.465071,110,174,85,61.04004
0.2502895,138,241,41,15.91992
0.1811013,144,174,72,158.25
0.6062412,179,229,56,45.52002
0.2634293,254,142,55,186.6797
0.5407696,130,162,89,42.52979
0.9588429,120,117,55,281.3799
0.2238804,185,162,38,74.37988
0.1794195,183,193,72,69.95996
0.7858046,212,195,44,122.8799
0.3178412,125,126,55,56.2002
0.9630358,101,131,46,209.2793
0.2538777,135,193,74,101.3301
0.1728179,147,161,41,125.9902
0.4767669,221,136,62,9.150391
0.2873865,254,111,34,10.93945
0.7206705,236,189,78,35.35938
0.5778338,145,223,88,77.56055
0.541909,242,196,31,136.6592
0.384408,171,142,32,127.6699
0.720255,137,102,36,26.45996
0.2823744,244,169,79,50.48926
0.3171502,179,182,74,46.27051
0.7405628,128,161,88,52.87988
0.1525674,124,110,85,75.45996
0.6174363,246,112,76,25.71973
0.49206,134,114,65,71.57031
0.8155165,146,174,61,213.8496
0.7556052,101,102,59,29.5498
0.2088672,193,216,50,260.0195
0.2912166,237,144,67,103.3701
0.4315841,185,167,77,75
0.3677368,254,143,68,25.41016
0.7123916,154,109,47,175.6396
0.1507159,161,163,39,38.91016
0.4176408,163,115,55,93.72949
0.2531443,110,205,57,164.8691
0.8006189,245,145,89,8.370117
0.498676,101,128,46,232.9297
0.5350767,125,200,69,141.5098
0.4456874,149,139,51,391.5098
0.4069813,129,244,82,199.2598
0.2457844,146,166,59,155.8291
0.6005031,119,195,63,135.4092
0.8203325,166,172,44,19.60059
0.226773,223,121,77,12.87012
0.8870251,211,122,84,69.72949
0.2806829,152,131,83,257.8398
0.5399142,238,153,86,88.56055
0.1152274,122,226,84,18.0293
0.6910393,196,134,67,144.4492
0.6550645,107,208,38,768.209
0.7376333,206,185,57,89.64063
0.5372884,212,182,30,53.00977
0.93669,138,210,82,139.9395
0.6020705,186,155,75,26.5293
0.1610186,101,231,64,55.49023
0.3764973,246,102,61,41.91992
0.2230713,119,250,32,57.13086
0.7754557,195,101,81,24.14063
0.4467948,184,229,47,11.5293
0.1694422,188,159,72,112.1914
0.4626461,142,156,58,194.3809
0.3661186,238,177,77,175.2988
0.2732244,182,168,78,232.75
0.2469406,240,121,83,23.73047
0.3027959,181,120,30,16.52148
0.608078,203,122,37,47.16992
0.1277939,245,235,76,8.439453
0.1991805,241,143,46,384.7598
0.9878327,138,130,75,71.04883
0.5590725,136,147,67,132.4102
0.3247938,194,108,88,14.17969
0.3211572,237,200,70,9.099609
0.7878116,150,107,56,108.9902
0.7626893,217,177,71,42.66992
0.1397306,218,174,75,36.02148
0.3097584,186,119,80,42.5293
0.8914489,199,249,30,28.08984
0.165448,120,146,32,110.5293
0.8607105,104,136,87,97.36133
0.8147803,145,188,41,18.40039
0.4908775,195,205,70,669
0.2443323,173,230,75,32.10938
0.9302582,141,126,80,24.08984
0.9759391,226,122,64,98.44922
0.1761539,226,215,85,39.92969
0.2154937,210,194,81,10.36133
0.8524818,101,184,65,76.16016
0.9034294,141,140,73,178.6191
0.4781482,234,143,77,68.49023
0.7828615,150,152,64,188.4395
0.5361515,249,158,48,53.05078
0.8706023,169,199,59,222.8008
0.6109403,232,157,35,60.33008
0.2369198,132,230,72,35.26172
0.6595566,232,218,36,63.66992
0.4443205,137,102,64,33.84961
0.6930075,250,186,59,16.82031
0.8938862,239,121,89,38.31055
0.3608712,249,178,76,15.86133
0.7579173,216,112,75,21.88867
0.5941719,171,100,55,39.33008
0.2627708,109,223,35,34.58984
0.7471636,173,116,85,55.09961
0.256597,134,213,67,75.95117
0.5485329,163,193,68,91.67969
0.9648255,196,217,40,106.0898
0.9552584,235,185,57,130.2695
0.996061,198,148,35,73.54883
0.170258,102,124,76,396.3105
0.7332283,101,203,53,321.9414
0.6170758,203,114,70,14.87891
0.8346976,220,191,85,85.19922
0.7585,227,103,62,62
0.3103619,182,112,59,17.12891
0.7298069,206,206,72,11.28906
0.4117717,103,180,41,67.76953
0.6812885,166,165,31,44.28125
0.2317664,219,121,80,62.94922
0.2048924,103,174,56,171.2305
0.5173313,138,242,63,48.67188
0.1466022,140,103,51,57.83984
0.1827039,111,243,75,49.78906
0.3934054,235,125,70,20.19141
0.4282817,107,169,72,32.53125
0.4492016,231,203,46,8.910156
0.6900887,233,154,76,109.7109
0.5370821,116,149,84,258.3984
0.8394768,142,108,84,44.66797
0.9393007,159,214,69,12.8125
0.1474748,164,192,86,266.6172
0.9234974,175,106,61,13.09766
0.5175472,187,195,77,67.51953
0.6554818,112,113,53,45.83984
0.7474579,223,156,52,34.91016
0.5110441,220,205,55,365.1875
0.9865583,218,203,33,28
0.8720804,128,171,62,176.8281
0.3772167,107,166,78,38.42969
0.3286836,158,135,82,12.9375
0.146347,132,126,84,16.30078
0.3062579,250,182,70,74.85938
0.2264451,107,252,57,83.33984
0.2664398,221,205,48,79.19922
0.8478258,101,110,33,23.90234
0.5616516,210,146,74,158.9883
0.1889138,145,102,45,55.49219
0.5467398,147,123,75,123.3086
0.2556546,124,126,80,24.26953
0.4446639,228,149,86,24.57031
0.2369092,246,151,85,42.36328
0.5846698,205,183,80,40.01172
0.2957711,215,208,47,408.6563
0.1832398,128,212,48,60.67969
0.494215,239,189,57,121.6289
0.6729136,199,179,46,28.48047
0.6379887,221,129,77,41.17969
0.3759863,191,150,66,77.75
0.5483918,158,107,43,17.42188
0.3630351,178,197,80,74.04688
0.1405158,206,218,36,55.01172
0.8473715,117,212,59,68.23047
0.6294489,172,246,39,93.32813
0.2039073,116,144,35,196.6797
0.5369712,117,244,53,39.37891
0.3441282,221,147,67,136.0195
0.290557,179,113,45,15.75
0.949003,186,208,79,366.9688
0.9017749,135,111,60,168.1133
0.5775491,225,173,51,58.58984
0.9973978,154,167,30,139.2773
0.7294984,155,172,64,24.21094
0.6557527,128,169,31,89.67969
0.3730891,144,160,51,44.10938
0.8548575,182,181,41,57.41016
0.5193012,140,108,80,16.67188
0.3695596,187,219,56,11.46094
0.2735151,217,131,64,34.17188
0.7735199,143,102,57,20.16797
0.7256759,104,147,71,20.61719
0.4017003,106,235,88,114.1094
0.5209071,193,143,64,56.27734
0.4744289,166,180,40,35.72656
0.3298253,180,247,80,69.39063
0.4483668,155,162,63,99.23828
0.3615225,188,113,88,15.66016
0.4177855,171,175,76,180.1797
0.5012366,174,151,83,39.38281
0.6555145,212,170,51,93.96875
0.9505253,251,191,77,12.01172
0.1959327,221,155,51,61.67969
0.5572652,176,205,33,53.51953
0.2650348,143,215,41,109.8008
0.5840832,126,161,73,78.55859
0.7881998,137,158,62,422.8086
0.3215817,238,239,70,8.460938
0.8144209,176,198,77,86.9375
0.9067348,235,123,82,69.57031
0.13747,169,206,30,46.35938
0.734813,196,144,41,135.8203
0.8301871,189,102,54,37.53906
0.3424864,115,163,55,19.11328
0.5540326,229,183,35,48.04688
0.3996702,105,142,63,67.44141
0.1675886,208,253,73,45.39844
0.3816597,125,139,73,90.03125
0.5268998,104,197,61,366.7617
0.8843117,184,243,44,20.5
0.9216594,225,162,56,84.92969
0.9166517,195,181,82,154.75
0.7592243,186,127,56,56.63672
0.2816526,214,199,59,108.5508
0.8508826,172,156,48,162.4609
0.4240331,204,116,57,30.46875
0.2176919,246,144,60,17.42969
0.9890306,251,195,74,63.73047
0.4201197,221,190,41,40.86328
0.2155098,109,156,82,82.14844
0.2522728,238,215,54,91.44141
0.7534674,253,174,59,21.89844
0.1484261,180,248,84,110.9102
0.2511573,161,191,88,111.7188
0.5330195,163,106,31,47.71094
0.403321,245,196,75,55.23828
0.848258,109,141,72,240.0391
0.9559486,101,204,43,467.3516
0.7341766,113,181,39,167.6484
0.8081352,186,105,73,34.30078
0.6213427,211,229,40,39.85156
0.9772477,204,133,51,30.88672
0.6104819,177,137,43,341.0195
0.6906383,179,223,84,79.71094
0.5558441,184,120,52,65.67969
0.7846466,200,117,49,32.94922
0.3545848,155,192,69,52.14063
0.2259557,234,194,80,248.8828
0.5167423,246,177,60,51.95703
0.5883247,184,138,54,95.46094
0.4043891,146,151,86,71.40625
0.566867,251,185,74,87.55469
0.3162869,239,101,41,11.625
0.5415151,198,200,31,195.4844
0.2826421,171,162,33,47.16406
0.4600365,161,138,87,19.85156
0.3332223,126,133,36,76.70313
0.7631335,189,163,37,54.03906
0.2821911,248,128,81,10.33594
0.6469172,149,127,75,97.05469
0.335039,118,181,48,127.1875
0.9728177,236,144,73,33.82031
0.452036,223,140,50,9.109375
0.569847,112,176,52,208.0313
0.4249659,134,158,69,169.1172
0.3974198,106,144,42,319.7891
0.7292117,222,131,77,134.2344
0.240702,190,142,52,97.77344
0.2880179,212,170,61,122.7344
0.3673636,179,104,89,16.34375
0.1990039,123,162,88,108.9453
0.6056172,148,145,72,122.125
0.8551129,162,136,48,107.9063
0.4411345,118,108,47,98.34375
0.9920171,164,123,84,111.7188
0.3367019,167,216,52,138.5781
0.9865171,240,118,32,113.9844
0.2242466,111,216,56,66.38281
0.5471591,119,194,85,198.1563
0.9403505,127,185,89,33.14063
